title_id,beneficiary_id,village_id,right_type,status,area_hectares,application_date,approval_date,survey_number,gps_coordinates,forest_division,forest_range,forest_beat,gram_sabha_resolution_date,sdlc_recommendation_date,dlc_approval_date,title_deed_number,remarks
FRA_TITLE_00000017,FRA_00000027,VIL_000002,IFR,Approved,0.74,2025-01-06,2023-10-13,SUR_818/30,VIL_000002_45,Mandla_Forest_Division,Mandla_Range_5,Beat_7,2022-12-14,2024-11-26,2025-09-26,DEED_000017,Pending Survey
FRA_TITLE_00000018,FRA_00000028,VIL_000002,IFR,Approved,0.9,2024-07-08,,SUR_983/19,VIL_000002_12,Mandla_Forest_Division,Mandla_Range_1,Beat_3,2024-07-06,2023-10-20,2025-09-26,DEED_000018,Under Verification
FRA_TITLE_00000019,FRA_00000029,VIL_000002,IFR,Approved,1.83,2023-05-31,,SUR_338/12,VIL_000002_52,Mandla_Forest_Division,Mandla_Range_1,Beat_3,2024-03-17,2023-10-28,2025-09-26,,Approved
FRA_TITLE_00000020,FRA_00000029,VIL_000002,CR,Rejected,4.68,2024-07-05,,SUR_299/37,VIL_000002_5,Mandla_Forest_Division,Mandla_Range_3,Beat_5,2024-08-11,2025-08-25,2025-09-26,,Pending Survey
FRA_TITLE_00000021,FRA_00000030,VIL_000002,IFR,Approved,2.84,2025-08-28,,SUR_451/13,VIL_000002_10,Mandla_Forest_Division,Mandla_Range_5,Beat_6,2023-03-21,2024-09-25,2025-09-26,,Under Verification
FRA_TITLE_00000022,FRA_00000030,VIL_000002,CR,Rejected,7.0,2024-04-15,,SUR_912/50,VIL_000002_91,Mandla_Forest_Division,Mandla_Range_4,Beat_5,2024-09-12,2024-06-12,2025-09-26,,Under Verification
FRA_TITLE_00000023,FRA_00000031,VIL_000002,CR,Approved,2.54,2023-05-18,,SUR_900/7,VIL_000002_100,Mandla_Forest_Division,Mandla_Range_2,Beat_4,2024-04-22,2023-10-08,,DEED_000023,Complete Documentation
FRA_TITLE_00000024,FRA_00000031,VIL_000002,CFR,Approved,4.83,2025-04-27,2024-03-29,SUR_527/45,VIL_000002_23,Mandla_Forest_Division,Mandla_Range_4,Beat_10,2023-06-11,2023-10-24,2025-09-26,,Under Verification
FRA_TITLE_00000025,FRA_00000033,VIL_000002,CFR,Under_Review,1.28,2024-10-16,,SUR_363/17,VIL_000002_72,Mandla_Forest_Division,Mandla_Range_3,Beat_7,2024-07-27,2025-07-01,2025-09-26,,Under Verification
FRA_TITLE_00000026,FRA_00000033,VIL_000002,CR,Approved,2.05,2025-05-24,,SUR_128/44,VIL_000002_90,Mandla_Forest_Division,Mandla_Range_3,Beat_8,2022-12-15,2024-08-18,2025-09-26,DEED_000026,Approved
FRA_TITLE_00000027,FRA_00000033,VIL_000002,IFR,Approved,1.8,2024-04-10,,SUR_348/28,VIL_000002_59,Mandla_Forest_Division,Mandla_Range_4,Beat_9,2023-12-12,2025-02-01,2025-09-26,DEED_000027,Complete Documentation
FRA_TITLE_00000028,FRA_00000035,VIL_000003,CFR,Under_Review,5.82,2023-07-28,,SUR_862/22,VIL_000003_85,Mandla_Forest_Division,Mandla_Range_4,Beat_5,2022-11-03,2023-12-30,,DEED_000028,Complete Documentation
FRA_TITLE_00000029,FRA_00000036,VIL_000003,IFR,Approved,0.85,2024-08-04,2023-12-12,SUR_870/30,VIL_000003_5,Mandla_Forest_Division,Mandla_Range_3,Beat_9,2024-09-16,2025-07-10,2025-09-26,DEED_000029,Approved
FRA_TITLE_00000030,FRA_00000038,VIL_000003,IFR,Under_Review,0.75,2024-02-10,2025-08-06,SUR_365/9,VIL_000003_90,Mandla_Forest_Division,Mandla_Range_1,Beat_5,2023-12-23,2025-07-18,,,Approved
FRA_TITLE_00000031,FRA_00000039,VIL_000003,CFR,Pending,9.5,2023-12-27,2024-04-07,SUR_975/14,VIL_000003_90,Mandla_Forest_Division,Mandla_Range_5,Beat_8,2023-08-31,2025-04-05,2025-09-26,,Approved
FRA_TITLE_00000032,FRA_00000043,VIL_000003,CR,Approved,7.98,2025-03-29,2023-10-05,SUR_633/13,VIL_000003_87,Mandla_Forest_Division,Mandla_Range_2,Beat_3,2024-02-14,2024-05-29,2025-09-26,,Under Verification
FRA_TITLE_00000033,FRA_00000043,VIL_000003,CR,Pending,5.48,2024-08-29,,SUR_152/10,VIL_000003_20,Mandla_Forest_Division,Mandla_Range_5,Beat_2,2024-01-10,2025-07-06,2025-09-26,DEED_000033,Under Verification
FRA_TITLE_00000034,FRA_00000043,VIL_000003,IFR,Approved,2.87,2024-09-03,,SUR_802/16,VIL_000003_63,Mandla_Forest_Division,Mandla_Range_3,Beat_2,2023-06-06,2023-12-10,2025-09-26,,Pending Survey
FRA_TITLE_00000035,FRA_00000045,VIL_000003,IFR,Approved,0.62,2023-10-11,2023-09-28,SUR_849/1,VIL_000003_57,Mandla_Forest_Division,Mandla_Range_1,Beat_9,2023-08-03,2025-08-09,,,Under Verification
FRA_TITLE_00000036,FRA_00000046,VIL_000003,CFR,Rejected,8.17,2024-12-08,2025-03-31,SUR_666/50,VIL_000003_20,Mandla_Forest_Division,Mandla_Range_1,Beat_3,2022-10-24,2025-04-12,2025-09-26,DEED_000036,Pending Survey
FRA_TITLE_00000037,FRA_00000046,VIL_000003,CFR,Approved,7.39,2024-04-19,2024-09-04,SUR_931/6,VIL_000003_62,Mandla_Forest_Division,Mandla_Range_2,Beat_3,2022-12-25,2025-04-01,,,Approved
FRA_TITLE_00000038,FRA_00000046,VIL_000003,IFR,Approved,1.6,2024-02-14,2024-04-13,SUR_996/39,VIL_000003_50,Mandla_Forest_Division,Mandla_Range_4,Beat_8,2023-04-23,2025-08-01,,DEED_000038,Pending Survey
FRA_TITLE_00000039,FRA_00000048,VIL_000004,CFR,Pending,2.67,2024-05-01,2025-03-25,SUR_154/27,VIL_000004_99,Mandla_Forest_Division,Mandla_Range_2,Beat_6,2023-10-31,2024-12-26,,,Approved
FRA_TITLE_00000040,FRA_00000048,VIL_000004,CR,Under_Review,3.71,2024-07-17,2025-06-26,SUR_642/13,VIL_000004_93,Mandla_Forest_Division,Mandla_Range_2,Beat_6,2024-08-31,2025-09-05,2025-09-26,DEED_000040,Complete Documentation
FRA_TITLE_00000041,FRA_00000049,VIL_000004,IFR,Under_Review,1.7,2024-07-31,,SUR_353/20,VIL_000004_88,Mandla_Forest_Division,Mandla_Range_3,Beat_10,2023-05-06,2024-09-10,2025-09-26,DEED_000041,Complete Documentation
FRA_TITLE_00000042,FRA_00000052,VIL_000004,CFR,Approved,2.19,2025-03-26,,SUR_553/35,VIL_000004_27,Mandla_Forest_Division,Mandla_Range_2,Beat_1,2024-04-15,2023-12-10,2025-09-26,DEED_000042,Approved
FRA_TITLE_00000043,FRA_00000053,VIL_000004,CFR,Under_Review,3.73,2023-02-18,,SUR_127/7,VIL_000004_54,Mandla_Forest_Division,Mandla_Range_4,Beat_9,2023-02-12,2024-12-19,2025-09-26,,Pending Survey
FRA_TITLE_00000044,FRA_00000054,VIL_000004,CR,Approved,5.56,2025-06-25,2025-08-11,SUR_339/8,VIL_000004_38,Mandla_Forest_Division,Mandla_Range_3,Beat_10,2024-02-24,2024-10-10,,,Approved
FRA_TITLE_00000045,FRA_00000055,VIL_000004,CFR,Under_Review,7.56,2025-09-21,2025-08-15,SUR_267/46,VIL_000004_61,Mandla_Forest_Division,Mandla_Range_5,Beat_8,2023-01-04,2025-04-08,2025-09-26,,Approved
FRA_TITLE_00000046,FRA_00000058,VIL_000004,CFR,Pending,8.87,2024-03-18,,SUR_978/38,VIL_000004_53,Mandla_Forest_Division,Mandla_Range_5,Beat_3,2024-04-23,2024-03-10,2025-09-26,DEED_000046,Approved
FRA_TITLE_00000047,FRA_00000058,VIL_000004,CR,Rejected,6.71,2022-12-02,,SUR_808/50,VIL_000004_51,Mandla_Forest_Division,Mandla_Range_4,Beat_1,2024-04-03,2023-10-26,2025-09-26,DEED_000047,Under Verification
FRA_TITLE_00000048,FRA_00000059,VIL_000004,IFR,Approved,3.72,2023-01-08,2024-10-31,SUR_912/11,VIL_000004_75,Mandla_Forest_Division,Mandla_Range_1,Beat_5,2023-11-22,2024-04-16,2025-09-26,DEED_000048,Pending Survey
FRA_TITLE_00000049,FRA_00000059,VIL_000004,CR,Approved,9.14,2023-03-17,,SUR_327/34,VIL_000004_59,Mandla_Forest_Division,Mandla_Range_1,Beat_8,2024-06-23,2024-11-23,,,Under Verification
FRA_TITLE_00000050,FRA_00000060,VIL_000004,IFR,Approved,3.76,2023-02-21,2025-04-23,SUR_642/50,VIL_000004_36,Mandla_Forest_Division,Mandla_Range_1,Beat_6,2023-02-28,2024-06-10,2025-09-26,,Complete Documentation
FRA_TITLE_00000051,FRA_00000061,VIL_000004,IFR,Rejected,3.83,2025-08-19,,SUR_843/39,VIL_000004_95,Mandla_Forest_Division,Mandla_Range_2,Beat_6,2024-01-17,2025-08-10,2025-09-26,DEED_000051,Under Verification
FRA_TITLE_00000052,FRA_00000061,VIL_000004,CFR,Approved,4.16,2025-02-26,,SUR_375/50,VIL_000004_44,Mandla_Forest_Division,Mandla_Range_4,Beat_1,2023-04-11,2024-08-10,2025-09-26,,Complete Documentation
FRA_TITLE_00000053,FRA_00000062,VIL_000004,CFR,Approved,9.75,2024-10-05,,SUR_590/11,VIL_000004_66,Mandla_Forest_Division,Mandla_Range_3,Beat_8,2023-09-13,2024-09-14,,DEED_000053,Approved
FRA_TITLE_00000054,FRA_00000062,VIL_000004,CFR,Approved,6.51,2023-07-19,2024-09-07,SUR_680/45,VIL_000004_36,Mandla_Forest_Division,Mandla_Range_1,Beat_7,2024-01-17,2023-10-31,2025-09-26,,Under Verification
FRA_TITLE_00000055,FRA_00000063,VIL_000004,IFR,Approved,3.85,2023-03-17,,SUR_725/28,VIL_000004_22,Mandla_Forest_Division,Mandla_Range_1,Beat_6,2023-10-03,2024-03-12,2025-09-26,DEED_000055,Under Verification
FRA_TITLE_00000056,FRA_00000064,VIL_000004,CFR,Approved,7.46,2024-10-19,2025-05-19,SUR_260/32,VIL_000004_6,Mandla_Forest_Division,Mandla_Range_5,Beat_1,2022-10-11,2024-07-23,,DEED_000056,Approved
FRA_TITLE_00000057,FRA_00000066,VIL_000004,CFR,Pending,0.64,2023-03-22,,SUR_336/36,VIL_000004_39,Mandla_Forest_Division,Mandla_Range_1,Beat_10,2023-03-31,2024-08-14,,DEED_000057,Approved
FRA_TITLE_00000058,FRA_00000066,VIL_000004,CR,Approved,1.65,2025-08-08,2024-09-13,SUR_750/34,VIL_000004_83,Mandla_Forest_Division,Mandla_Range_2,Beat_2,2022-11-03,2024-08-26,2025-09-26,,Pending Survey
FRA_TITLE_00000059,FRA_00000067,VIL_000004,CFR,Pending,2.15,2023-05-23,,SUR_694/6,VIL_000004_49,Mandla_Forest_Division,Mandla_Range_5,Beat_6,2022-11-17,2024-03-03,2025-09-26,DEED_000059,Pending Survey
FRA_TITLE_00000060,FRA_00000068,VIL_000004,IFR,Approved,3.74,2023-12-08,2024-04-16,SUR_357/10,VIL_000004_75,Mandla_Forest_Division,Mandla_Range_3,Beat_8,2022-11-10,2024-02-15,2025-09-26,,Under Verification
FRA_TITLE_00000061,FRA_00000069,VIL_000004,CFR,Under_Review,5.64,2023-04-12,,SUR_904/27,VIL_000004_53,Mandla_Forest_Division,Mandla_Range_2,Beat_4,2024-05-17,2023-10-17,2025-09-26,DEED_000061,Under Verification
FRA_TITLE_00000062,FRA_00000070,VIL_000004,CFR,Pending,5.98,2023-11-16,,SUR_903/33,VIL_000004_45,Mandla_Forest_Division,Mandla_Range_5,Beat_4,2023-06-02,2023-12-12,2025-09-26,,Pending Survey
FRA_TITLE_00000063,FRA_00000070,VIL_000004,CR,Approved,3.37,2023-01-25,,SUR_163/39,VIL_000004_14,Mandla_Forest_Division,Mandla_Range_3,Beat_6,2023-10-01,2025-04-24,2025-09-26,DEED_000063,Under Verification
FRA_TITLE_00000064,FRA_00000074,VIL_000004,CFR,Approved,1.19,2023-10-04,2024-04-24,SUR_393/8,VIL_000004_66,Mandla_Forest_Division,Mandla_Range_4,Beat_9,2024-04-24,2024-11-14,2025-09-26,DEED_000064,Complete Documentation
FRA_TITLE_00000065,FRA_00000079,VIL_000005,CFR,Approved,1.96,2022-12-04,2024-12-06,SUR_211/49,VIL_000005_35,Mandla_Forest_Division,Mandla_Range_1,Beat_1,2022-10-22,2024-04-26,2025-09-26,DEED_000065,Under Verification
FRA_TITLE_00000066,FRA_00000079,VIL_000005,CFR,Under_Review,7.98,2023-04-05,,SUR_130/10,VIL_000005_15,Mandla_Forest_Division,Mandla_Range_1,Beat_7,2024-01-08,2025-07-23,2025-09-26,,Approved
FRA_TITLE_00000067,FRA_00000080,VIL_000005,CFR,Approved,9.54,2023-10-27,,SUR_282/5,VIL_000005_86,Mandla_Forest_Division,Mandla_Range_2,Beat_7,2024-02-22,2024-03-31,2025-09-26,DEED_000067,Approved
FRA_TITLE_00000068,FRA_00000081,VIL_000005,CFR,Approved,7.1,2024-06-20,2024-07-29,SUR_222/35,VIL_000005_25,Mandla_Forest_Division,Mandla_Range_3,Beat_8,2023-10-25,2024-07-09,2025-09-26,DEED_000068,Complete Documentation
FRA_TITLE_00000069,FRA_00000081,VIL_000005,CR,Approved,4.77,2024-02-29,2024-11-28,SUR_131/30,VIL_000005_22,Mandla_Forest_Division,Mandla_Range_4,Beat_4,2024-02-21,2024-10-17,2025-09-26,,Pending Survey
FRA_TITLE_00000070,FRA_00000082,VIL_000005,CFR,Pending,3.08,2025-09-16,2024-07-01,SUR_302/24,VIL_000005_21,Mandla_Forest_Division,Mandla_Range_5,Beat_3,2023-01-05,2024-09-16,,DEED_000070,Approved
FRA_TITLE_00000071,FRA_00000082,VIL_000005,IFR,Approved,1.68,2023-06-29,2023-10-12,SUR_723/3,VIL_000005_30,Mandla_Forest_Division,Mandla_Range_4,Beat_5,2024-09-11,2024-09-28,2025-09-26,DEED_000071,Approved
FRA_TITLE_00000072,FRA_00000083,VIL_000005,IFR,Pending,2.36,2025-02-03,2024-09-17,SUR_988/25,VIL_000005_50,Mandla_Forest_Division,Mandla_Range_3,Beat_10,2024-05-21,2024-01-07,2025-09-26,,Approved
FRA_TITLE_00000073,FRA_00000085,VIL_000005,CR,Approved,2.38,2024-11-29,2025-02-14,SUR_978/29,VIL_000005_77,Mandla_Forest_Division,Mandla_Range_2,Beat_3,2023-03-25,2025-04-27,,,Complete Documentation
FRA_TITLE_00000074,FRA_00000086,VIL_000005,CR,Under_Review,8.8,2023-10-30,,SUR_559/31,VIL_000005_46,Mandla_Forest_Division,Mandla_Range_1,Beat_5,2022-11-15,2024-11-03,,DEED_000074,Under Verification
FRA_TITLE_00000075,FRA_00000087,VIL_000005,CFR,Approved,3.6,2025-09-05,2024-08-20,SUR_976/22,VIL_000005_50,Mandla_Forest_Division,Mandla_Range_1,Beat_1,2023-12-30,2025-04-17,2025-09-26,DEED_000075,Approved
FRA_TITLE_00000076,FRA_00000087,VIL_000005,IFR,Approved,3.49,2023-02-12,2025-07-20,SUR_604/10,VIL_000005_94,Mandla_Forest_Division,Mandla_Range_5,Beat_8,2024-02-29,2025-05-11,,,Approved
FRA_TITLE_00000077,FRA_00000088,VIL_000005,CFR,Approved,8.49,2024-04-01,,SUR_618/35,VIL_000005_28,Mandla_Forest_Division,Mandla_Range_1,Beat_6,2024-08-14,2024-02-03,2025-09-26,DEED_000077,Pending Survey
FRA_TITLE_00000078,FRA_00000088,VIL_000005,IFR,Rejected,2.41,2022-12-10,,SUR_846/48,VIL_000005_75,Mandla_Forest_Division,Mandla_Range_2,Beat_6,2023-05-29,2023-11-12,2025-09-26,DEED_000078,Under Verification
FRA_TITLE_00000079,FRA_00000089,VIL_000005,CR,Rejected,1.89,2024-07-12,2024-09-14,SUR_348/23,VIL_000005_16,Mandla_Forest_Division,Mandla_Range_1,Beat_5,2024-03-09,2024-08-07,,,Pending Survey
FRA_TITLE_00000080,FRA_00000090,VIL_000006,CR,Pending,3.34,2023-07-17,2024-11-15,SUR_951/49,VIL_000006_62,Mandla_Forest_Division,Mandla_Range_4,Beat_3,2023-10-20,2025-04-29,,DEED_000080,Under Verification
FRA_TITLE_00000081,FRA_00000090,VIL_000006,CR,Approved,6.67,2024-01-18,2023-12-05,SUR_340/2,VIL_000006_92,Mandla_Forest_Division,Mandla_Range_2,Beat_2,2023-07-12,2025-05-26,,DEED_000081,Pending Survey
FRA_TITLE_00000082,FRA_00000090,VIL_000006,IFR,Approved,3.46,2023-03-03,2024-04-24,SUR_865/27,VIL_000006_9,Mandla_Forest_Division,Mandla_Range_1,Beat_10,2024-04-01,2024-04-17,2025-09-26,,Approved
FRA_TITLE_00000083,FRA_00000091,VIL_000006,IFR,Pending,1.86,2025-02-09,,SUR_474/21,VIL_000006_51,Mandla_Forest_Division,Mandla_Range_2,Beat_9,2023-09-26,2024-06-14,2025-09-26,,Approved
FRA_TITLE_00000084,FRA_00000092,VIL_000006,CFR,Approved,4.9,2024-07-08,2023-12-20,SUR_581/41,VIL_000006_100,Mandla_Forest_Division,Mandla_Range_5,Beat_3,2022-12-18,2023-12-30,,DEED_000084,Approved
FRA_TITLE_00000085,FRA_00000092,VIL_000006,CR,Under_Review,8.95,2022-09-27,,SUR_268/38,VIL_000006_11,Mandla_Forest_Division,Mandla_Range_1,Beat_1,2023-01-29,2025-04-06,,,Complete Documentation
FRA_TITLE_00000086,FRA_00000094,VIL_000006,CFR,Approved,1.86,2023-08-27,,SUR_656/12,VIL_000006_77,Mandla_Forest_Division,Mandla_Range_1,Beat_2,2023-08-20,2024-12-29,,,Approved
FRA_TITLE_00000087,FRA_00000097,VIL_000006,CFR,Approved,4.01,2023-07-18,,SUR_424/27,VIL_000006_99,Mandla_Forest_Division,Mandla_Range_3,Beat_6,2024-06-01,2023-10-21,2025-09-26,DEED_000087,Complete Documentation
FRA_TITLE_00000088,FRA_00000097,VIL_000006,IFR,Approved,3.99,2025-08-28,2024-08-22,SUR_210/24,VIL_000006_34,Mandla_Forest_Division,Mandla_Range_5,Beat_8,2023-04-07,2024-07-09,,DEED_000088,Under Verification
FRA_TITLE_00000089,FRA_00000099,VIL_000006,IFR,Approved,3.99,2024-03-26,2024-08-13,SUR_189/32,VIL_000006_52,Mandla_Forest_Division,Mandla_Range_1,Beat_9,2022-11-26,2024-06-21,2025-09-26,DEED_000089,Under Verification
FRA_TITLE_00000090,FRA_00000100,VIL_000006,IFR,Pending,1.29,2023-07-16,2025-01-20,SUR_342/18,VIL_000006_26,Mandla_Forest_Division,Mandla_Range_1,Beat_6,2024-07-31,2025-09-05,,DEED_000090,Pending Survey
FRA_TITLE_00000091,FRA_00000101,VIL_000006,IFR,Approved,2.4,2024-09-25,2024-08-11,SUR_762/46,VIL_000006_52,Mandla_Forest_Division,Mandla_Range_2,Beat_6,2024-06-13,2024-12-12,2025-09-26,DEED_000091,Complete Documentation
FRA_TITLE_00000092,FRA_00000101,VIL_000006,IFR,Approved,1.31,2024-12-13,2023-10-19,SUR_873/31,VIL_000006_11,Mandla_Forest_Division,Mandla_Range_5,Beat_3,2023-12-17,2025-09-18,,,Pending Survey
FRA_TITLE_00000093,FRA_00000102,VIL_000006,CR,Approved,5.59,2024-04-29,,SUR_147/38,VIL_000006_22,Mandla_Forest_Division,Mandla_Range_3,Beat_9,2024-02-13,2023-12-21,2025-09-26,DEED_000093,Under Verification
FRA_TITLE_00000094,FRA_00000102,VIL_000006,IFR,Under_Review,2.81,2023-09-22,2024-10-18,SUR_330/36,VIL_000006_93,Mandla_Forest_Division,Mandla_Range_2,Beat_8,2023-07-09,2025-08-30,,,Approved
FRA_TITLE_00000095,FRA_00000102,VIL_000006,CR,Rejected,1.81,2024-06-07,2024-10-24,SUR_980/49,VIL_000006_47,Mandla_Forest_Division,Mandla_Range_3,Beat_9,2023-09-13,2024-09-26,2025-09-26,DEED_000095,Pending Survey
FRA_TITLE_00000096,FRA_00000103,VIL_000006,CR,Approved,9.07,2023-12-18,2024-10-02,SUR_932/33,VIL_000006_42,Mandla_Forest_Division,Mandla_Range_5,Beat_4,2022-12-12,2024-08-25,2025-09-26,DEED_000096,Pending Survey
FRA_TITLE_00000097,FRA_00000104,VIL_000006,CFR,Pending,4.75,2023-09-27,,SUR_665/30,VIL_000006_31,Mandla_Forest_Division,Mandla_Range_4,Beat_10,2022-11-07,2024-10-15,2025-09-26,DEED_000097,Pending Survey
FRA_TITLE_00000098,FRA_00000106,VIL_000006,IFR,Approved,3.11,2023-01-11,2024-02-24,SUR_164/1,VIL_000006_90,Mandla_Forest_Division,Mandla_Range_1,Beat_7,2022-11-17,2025-05-25,,DEED_000098,Pending Survey
FRA_TITLE_00000099,FRA_00000106,VIL_000006,CFR,Approved,6.19,2024-10-04,,SUR_330/12,VIL_000006_1,Mandla_Forest_Division,Mandla_Range_2,Beat_3,2024-02-13,2024-07-28,,DEED_000099,Pending Survey
FRA_TITLE_00000100,FRA_00000107,VIL_000006,CR,Rejected,3.91,2024-03-05,2025-04-15,SUR_207/38,VIL_000006_11,Mandla_Forest_Division,Mandla_Range_1,Beat_8,2024-06-11,2024-08-09,2025-09-26,DEED_000100,Under Verification
FRA_TITLE_00000101,FRA_00000108,VIL_000006,CR,Pending,8.32,2025-01-03,,SUR_387/12,VIL_000006_45,Mandla_Forest_Division,Mandla_Range_3,Beat_9,2024-05-18,2024-07-04,2025-09-26,,Approved
FRA_TITLE_00000102,FRA_00000109,VIL_000006,CR,Approved,1.5,2024-02-12,2024-04-01,SUR_512/39,VIL_000006_80,Mandla_Forest_Division,Mandla_Range_2,Beat_9,2022-11-29,2024-06-21,2025-09-26,DEED_000102,Approved
FRA_TITLE_00000103,FRA_00000109,VIL_000006,IFR,Approved,1.13,2024-10-03,2024-10-15,SUR_420/2,VIL_000006_77,Mandla_Forest_Division,Mandla_Range_2,Beat_1,2023-03-12,2024-03-05,2025-09-26,DEED_000103,Complete Documentation
FRA_TITLE_00000104,FRA_00000110,VIL_000006,CR,Approved,1.12,2023-08-27,2024-09-09,SUR_734/45,VIL_000006_57,Mandla_Forest_Division,Mandla_Range_4,Beat_1,2024-06-03,2024-03-16,2025-09-26,DEED_000104,Complete Documentation
FRA_TITLE_00000105,FRA_00000111,VIL_000006,IFR,Approved,1.49,2023-10-20,,SUR_515/28,VIL_000006_39,Mandla_Forest_Division,Mandla_Range_5,Beat_8,2024-09-06,2024-06-28,2025-09-26,DEED_000105,Approved
FRA_TITLE_00000106,FRA_00000112,VIL_000006,IFR,Approved,3.46,2023-12-13,,SUR_924/6,VIL_000006_7,Mandla_Forest_Division,Mandla_Range_2,Beat_3,2023-07-29,2025-01-15,,,Pending Survey
FRA_TITLE_00000107,FRA_00000113,VIL_000006,CR,Approved,6.49,2025-04-10,,SUR_851/27,VIL_000006_14,Mandla_Forest_Division,Mandla_Range_3,Beat_7,2023-07-19,2023-10-14,,DEED_000107,Complete Documentation
FRA_TITLE_00000108,FRA_00000114,VIL_000006,CR,Rejected,6.63,2023-09-02,2025-05-10,SUR_941/19,VIL_000006_91,Mandla_Forest_Division,Mandla_Range_4,Beat_7,2023-04-01,2024-08-01,2025-09-26,,Under Verification
FRA_TITLE_00000109,FRA_00000114,VIL_000006,CR,Approved,6.68,2024-03-21,,SUR_392/33,VIL_000006_73,Mandla_Forest_Division,Mandla_Range_2,Beat_4,2023-08-03,2025-08-25,2025-09-26,,Approved
