Map_Id,village_id,village_name,village_latitude,village_longitude,village_population,village_sc_population,village_st_population,village_female_population,village_male_population,village_female_literate,village_male_literate,village_female_illiterate,village_male_illiterate,village_households,village_water_area_ha,village_vegetation_area_ha,village_forest_area_ha,village_built_area_ha,village_barren_area_ha,village_total_area_ha,village_water_percent,village_vegetation_percent,village_forest_percent,village_built_percent,village_barren_percent,gp_id,gp_name,gp_name_census,gp_census_id,gp_latitude,gp_longitude,gp_total_population,gp_sc_population,gp_st_population,villages_in_gp,block_id,block_name,subdistrict_name,subdistrict_census_code,district_code,district_name,district_census_name,state,data_note,map_gp_id
VIL_000014,908457,Sodar Fv,22.41774361,80.52469721,344.0,1.0,285.0,174.0,170.0,61.0,94.0,113.0,76.0,85.0,1.37,88.9,27.55,2.24,27.71,147.78,0.93,60.16,18.65,1.52,18.75,142645,Batwar,batwar,168051.0,22.41774361,80.52469721,1719.0,7.0,1425.0,5,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000007
VIL_000015,493180,Bhawa Jar,22.55000533,80.55070082,521.0,16.0,407.0,264.0,257.0,100.0,147.0,165.0,109.0,117.0,0.03,137.12,41.99,1.36,20.93,201.44,0.01,68.07,20.84,0.68,10.39,142646,Bhawamal,bhawamal,168029.0,22.55000533,80.55070082,2605.0,80.0,2033.0,5,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000008
VIL_000016,493179,Bhawa Mal.,22.55000533,80.55070082,521.0,16.0,407.0,264.0,257.0,100.0,147.0,165.0,109.0,117.0,0.03,137.12,41.99,1.36,20.93,201.44,0.01,68.07,20.84,0.68,10.39,142646,Bhawamal,bhawamal,168029.0,22.55000533,80.55070082,2605.0,80.0,2033.0,5,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000008
VIL_000017,493183,Kharrajhar,22.55000533,80.55070082,521.0,16.0,407.0,264.0,257.0,100.0,147.0,165.0,109.0,117.0,0.03,137.12,41.99,1.36,20.93,201.44,0.01,68.07,20.84,0.68,10.39,142646,Bhawamal,bhawamal,168029.0,22.55000533,80.55070082,2605.0,80.0,2033.0,5,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000008
VIL_000018,493181,Lutiya,22.55000533,80.55070082,521.0,16.0,407.0,264.0,257.0,100.0,147.0,165.0,109.0,117.0,0.03,137.12,41.99,1.36,20.93,201.44,0.01,68.07,20.84,0.68,10.39,142646,Bhawamal,bhawamal,168029.0,22.55000533,80.55070082,2605.0,80.0,2033.0,5,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000008
VIL_000019,493182,Mohgaon,22.55000533,80.55070082,521.0,16.0,407.0,264.0,257.0,100.0,147.0,165.0,109.0,117.0,0.03,137.12,41.99,1.36,20.93,201.44,0.01,68.07,20.84,0.68,10.39,142646,Bhawamal,bhawamal,168029.0,22.55000533,80.55070082,2605.0,80.0,2033.0,5,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000008
VIL_000020,493329,Bhima,22.46555733,80.79679202,1284.0,0.0,692.0,659.0,625.0,252.0,341.0,407.0,284.0,269.0,1.85,799.03,540.38,40.85,356.07,1738.16,0.11,45.97,31.09,2.35,20.49,142647,Bheema,bheema,168086.0,22.46555733,80.79679202,1284.0,0.0,692.0,1,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000009
VIL_000021,493246,Bokar,22.4838027,80.47036655,2057.0,258.0,545.0,1015.0,1042.0,478.0,759.0,537.0,283.0,514.0,1.51,422.05,89.32,17.53,196.57,726.98,0.21,58.06,12.29,2.41,27.04,142650,Bokar,bokar,168055.0,22.4838027,80.47036655,2057.0,258.0,545.0,1,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000010
VIL_000022,493338,Budla,22.48938443,80.67408139,668.0,0.0,484.0,327.0,341.0,141.0,207.0,186.0,134.0,179.0,0.21,153.76,54.23,7.02,64.03,279.26,0.07,55.06,19.42,2.52,22.93,142651,Budla,budla,168091.0,22.48938443,80.67408139,2003.0,0.0,1451.0,3,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000011
VIL_000023,493339,Deori Ryt.,22.48938443,80.67408139,668.0,0.0,484.0,327.0,341.0,141.0,207.0,186.0,134.0,179.0,0.21,153.76,54.23,7.02,64.03,279.26,0.07,55.06,19.42,2.52,22.93,142651,Budla,budla,168091.0,22.48938443,80.67408139,2003.0,0.0,1451.0,3,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000011
VIL_000024,493340,Dhamangaon,22.48938443,80.67408139,668.0,0.0,484.0,327.0,341.0,141.0,207.0,186.0,134.0,179.0,0.21,153.76,54.23,7.02,64.03,279.26,0.07,55.06,19.42,2.52,22.93,142651,Budla,budla,168091.0,22.48938443,80.67408139,2003.0,0.0,1451.0,3,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000011
VIL_000025,493268,Changariya,22.49241073,80.58829562,498.0,1.0,366.0,240.0,258.0,97.0,143.0,142.0,115.0,109.0,8.9,171.14,89.04,4.61,56.9,330.58,2.69,51.77,26.93,1.39,17.21,142652,Changaria,changaria,168064.0,22.49241073,80.58829562,1991.0,3.0,1464.0,4,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000012
VIL_000026,493269,Dudhari,22.49241073,80.58829562,498.0,1.0,366.0,240.0,258.0,97.0,143.0,142.0,115.0,109.0,8.9,171.14,89.04,4.61,56.9,330.58,2.69,51.77,26.93,1.39,17.21,142652,Changaria,changaria,168064.0,22.49241073,80.58829562,1991.0,3.0,1464.0,4,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000012
VIL_000027,493270,Gadia,22.49241073,80.58829562,498.0,1.0,366.0,240.0,258.0,97.0,143.0,142.0,115.0,109.0,8.9,171.14,89.04,4.61,56.9,330.58,2.69,51.77,26.93,1.39,17.21,142652,Changaria,changaria,168064.0,22.49241073,80.58829562,1991.0,3.0,1464.0,4,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000012
VIL_000028,493271,Kharpariya,22.49241073,80.58829562,498.0,1.0,366.0,240.0,258.0,97.0,143.0,142.0,115.0,109.0,8.9,171.14,89.04,4.61,56.9,330.58,2.69,51.77,26.93,1.39,17.21,142652,Changaria,changaria,168064.0,22.49241073,80.58829562,1991.0,3.0,1464.0,4,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000012
VIL_000029,493211,Chargaon,22.41271973,80.43985203,486.0,22.0,423.0,254.0,231.0,96.0,135.0,159.0,96.0,123.0,0.08,168.42,84.02,2.21,70.49,325.22,0.03,51.79,25.83,0.68,21.68,142653,Chargaon,chargaon,168043.0,22.41271973,80.43985203,1457.0,65.0,1269.0,3,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000013
VIL_000030,493213,Chhichhari Ryt.,22.41271973,80.43985203,486.0,22.0,423.0,254.0,231.0,96.0,135.0,159.0,96.0,123.0,0.08,168.42,84.02,2.21,70.49,325.22,0.03,51.79,25.83,0.68,21.68,142653,Chargaon,chargaon,168043.0,22.41271973,80.43985203,1457.0,65.0,1269.0,3,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000013
VIL_000031,493212,Umardih,22.41271973,80.43985203,486.0,22.0,423.0,254.0,231.0,96.0,135.0,159.0,96.0,123.0,0.08,168.42,84.02,2.21,70.49,325.22,0.03,51.79,25.83,0.68,21.68,142653,Chargaon,chargaon,168043.0,22.41271973,80.43985203,1457.0,65.0,1269.0,3,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000013
VIL_000032,493319,Chatuwakhar,22.38609013,80.74862196,1085.0,8.0,369.0,528.0,557.0,217.0,378.0,311.0,178.0,284.0,0.33,400.44,36.14,11.95,211.13,659.99,0.05,60.67,5.48,1.81,31.99,142654,Chouranga Mal,chouranga mal,168080.0,22.38609013,80.74862196,2170.0,16.0,738.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000014
VIL_000033,493317,Chaunranga Mal.,22.38609013,80.74862196,1085.0,8.0,369.0,528.0,557.0,217.0,378.0,311.0,178.0,284.0,0.33,400.44,36.14,11.95,211.13,659.99,0.05,60.67,5.48,1.81,31.99,142654,Chouranga Mal,chouranga mal,168080.0,22.38609013,80.74862196,2170.0,16.0,738.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000014
VIL_000034,493331,Dei,22.48223897,80.69995902,1598.0,94.0,1070.0,808.0,790.0,404.0,536.0,404.0,254.0,373.0,1.33,330.71,14.54,19.83,147.16,513.57,0.26,64.39,2.83,3.86,28.65,142655,Dai,dai,168088.0,22.48223897,80.69995902,1598.0,94.0,1070.0,1,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000015
VIL_000035,493343,Matawal Alias Danitola,22.57798592,80.70689772,2575.0,104.0,1561.0,1277.0,1298.0,479.0,790.0,798.0,508.0,633.0,4.58,848.41,282.24,97.8,535.37,1768.4,0.26,47.98,15.96,5.53,30.27,142656,Danitola,danitola,168094.0,22.57798592,80.70689772,2575.0,104.0,1561.0,1,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000016
VIL_000036,493288,Bundeli Khoh,22.44607898,80.64904924,232.0,0.0,205.0,117.0,115.0,44.0,66.0,73.0,49.0,57.0,0.04,99.53,70.31,5.05,41.34,216.27,0.02,46.02,32.51,2.34,19.11,142657,Deelwara,deelwara,168068.0,22.44607898,80.64904924,1393.0,0.0,1230.0,6,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000017
VIL_000037,493284,Dilwara,22.44607898,80.64904924,232.0,0.0,205.0,117.0,115.0,44.0,66.0,73.0,49.0,57.0,0.04,99.53,70.31,5.05,41.34,216.27,0.02,46.02,32.51,2.34,19.11,142657,Deelwara,deelwara,168068.0,22.44607898,80.64904924,1393.0,0.0,1230.0,6,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000017
VIL_000038,493289,Gubri,22.44607898,80.64904924,232.0,0.0,205.0,117.0,115.0,44.0,66.0,73.0,49.0,57.0,0.04,99.53,70.31,5.05,41.34,216.27,0.02,46.02,32.51,2.34,19.11,142657,Deelwara,deelwara,168068.0,22.44607898,80.64904924,1393.0,0.0,1230.0,6,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000017
VIL_000039,493285,Ramhepur,22.44607898,80.64904924,232.0,0.0,205.0,117.0,115.0,44.0,66.0,73.0,49.0,57.0,0.04,99.53,70.31,5.05,41.34,216.27,0.02,46.02,32.51,2.34,19.11,142657,Deelwara,deelwara,168068.0,22.44607898,80.64904924,1393.0,0.0,1230.0,6,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000017
VIL_000040,493287,Urdali Mal.,22.44607898,80.64904924,232.0,0.0,205.0,117.0,115.0,44.0,66.0,73.0,49.0,57.0,0.04,99.53,70.31,5.05,41.34,216.27,0.02,46.02,32.51,2.34,19.11,142657,Deelwara,deelwara,168068.0,22.44607898,80.64904924,1393.0,0.0,1230.0,6,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000017
VIL_000041,493286,Urdali Ryt.,22.44607898,80.64904924,232.0,0.0,205.0,117.0,115.0,44.0,66.0,73.0,49.0,57.0,0.04,99.53,70.31,5.05,41.34,216.27,0.02,46.02,32.51,2.34,19.11,142657,Deelwara,deelwara,168068.0,22.44607898,80.64904924,1393.0,0.0,1230.0,6,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000017
VIL_000042,493306,Atariya,22.35122969,80.73979324,560.0,0.0,509.0,291.0,269.0,92.0,131.0,199.0,139.0,148.0,0.03,207.86,75.09,5.73,92.39,381.1,0.01,54.54,19.7,1.5,24.24,142658,Dharampuri Mal,dharampuri mal,168076.0,22.35122969,80.73979324,1681.0,0.0,1527.0,3,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000018
VIL_000043,493305,Bhimpuri Ryt.,22.35122969,80.73979324,560.0,0.0,509.0,291.0,269.0,92.0,131.0,199.0,139.0,148.0,0.03,207.86,75.09,5.73,92.39,381.1,0.01,54.54,19.7,1.5,24.24,142658,Dharampuri Mal,dharampuri mal,168076.0,22.35122969,80.73979324,1681.0,0.0,1527.0,3,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000018
VIL_000044,493304,Dharampuri Mal.,22.35122969,80.73979324,560.0,0.0,509.0,291.0,269.0,92.0,131.0,199.0,139.0,148.0,0.03,207.86,75.09,5.73,92.39,381.1,0.01,54.54,19.7,1.5,24.24,142658,Dharampuri Mal,dharampuri mal,168076.0,22.35122969,80.73979324,1681.0,0.0,1527.0,3,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000018
VIL_000045,493214,Dhutka,22.49606318,80.46352375,692.0,16.0,452.0,344.0,348.0,144.0,214.0,199.0,134.0,178.0,0.42,152.15,29.86,4.32,45.88,232.63,0.18,65.41,12.84,1.86,19.72,142659,Dhutka,dhutka,168044.0,22.49606318,80.46352375,1383.0,33.0,903.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000019
VIL_000046,493215,Malara,22.49606318,80.46352375,692.0,16.0,452.0,344.0,348.0,144.0,214.0,199.0,134.0,178.0,0.42,152.15,29.86,4.32,45.88,232.63,0.18,65.41,12.84,1.86,19.72,142659,Dhutka,dhutka,168044.0,22.49606318,80.46352375,1383.0,33.0,903.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000019
VIL_000047,493197,Bagli,22.50123998,80.42488506,842.0,42.0,110.0,416.0,426.0,242.0,312.0,174.0,114.0,212.0,2.54,511.52,56.35,9.68,68.58,648.67,0.39,78.86,8.69,1.49,10.57,142660,Diwara,diwara,168036.0,22.50123998,80.42488506,1684.0,84.0,219.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000020
VIL_000048,493196,Diwara,22.50123998,80.42488506,842.0,42.0,110.0,416.0,426.0,242.0,312.0,174.0,114.0,212.0,2.54,511.52,56.35,9.68,68.58,648.67,0.39,78.86,8.69,1.49,10.57,142660,Diwara,diwara,168036.0,22.50123998,80.42488506,1684.0,84.0,219.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000020
VIL_000049,493474,Baghraudi F.V,22.52072712,80.55760682,942.0,96.0,712.0,477.0,464.0,196.0,288.0,282.0,177.0,216.0,0.14,202.35,49.59,3.72,52.68,308.48,0.05,65.6,16.07,1.2,17.08,142661,Dudaka,dudaka,168031.0,22.52072712,80.55760682,1883.0,191.0,1423.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000021
VIL_000050,493187,Dudka,22.52072712,80.55760682,942.0,96.0,712.0,477.0,464.0,196.0,288.0,282.0,177.0,216.0,0.14,202.35,49.59,3.72,52.68,308.48,0.05,65.6,16.07,1.2,17.08,142661,Dudaka,dudaka,168031.0,22.52072712,80.55760682,1883.0,191.0,1423.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000021
VIL_000051,493230,Dungariya,22.30779599,80.4417842,373.0,2.0,342.0,194.0,179.0,83.0,115.0,110.0,64.0,90.0,0.19,266.47,241.76,10.31,48.4,567.12,0.03,46.99,42.63,1.82,8.53,142662,Dungaria,dungaria,168049.0,22.30779599,80.4417842,1864.0,11.0,1710.0,5,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000022
